#options: 640x1138 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=901 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:35.91 aq:31.14 tex:233734 mv:68583 misc:219 imb:2880 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:42.82 aq:40.31 tex:6690 mv:7518 misc:2224 imb:153 pmb:624 smb:2103 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:42.82 aq:43.46 tex:505 mv:3137 misc:1582 imb:10 pmb:399 smb:2471 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:42.82 aq:43.00 tex:31 mv:157 misc:1004 imb:0 pmb:212 smb:2668 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:42.82 aq:45.31 tex:332 mv:2799 misc:1453 imb:2 pmb:307 smb:2571 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:43.49 aq:40.57 tex:15202 mv:10274 misc:2348 imb:566 pmb:613 smb:1701 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:43.16 aq:42.07 tex:3380 mv:7859 misc:2105 imb:89 pmb:618 smb:2173 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:42.99 aq:42.66 tex:1117 mv:5078 misc:1757 imb:26 pmb:463 smb:2391 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:43.32 aq:43.45 tex:645 mv:3423 misc:1452 imb:13 pmb:320 smb:2547 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:41.23 aq:37.43 tex:38919 mv:15775 misc:2202 imb:1058 pmb:832 smb:990 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:42.36 aq:40.32 tex:6619 mv:10479 misc:2278 imb:162 pmb:770 smb:1948 d:- ref:0 ;
